listening on 10.32.1.69:udp/5004  (echo=on)
rx 1 lost 0 reorder 0 bad 0 | inter-arrival jitter   0.0 ms | streams 1
rx 54 lost 32 reorder 0 bad 0 | inter-arrival jitter  42.9 ms | streams 1
rx 103 lost 32 reorder 0 bad 0 | inter-arrival jitter  48.4 ms | streams 1
rx 155 lost 32 reorder 0 bad 0 | inter-arrival jitter  73.6 ms | streams 1
rx 206 lost 32 reorder 0 bad 0 | inter-arrival jitter  53.2 ms | streams 1
rx 257 lost 32 reorder 0 bad 0 | inter-arrival jitter  70.5 ms | streams 1
rx 281 lost 34 reorder 0 bad 0 | inter-arrival jitter 370.5 ms | streams 1
rx 325 lost 63 reorder 0 bad 0 | inter-arrival jitter 416.1 ms | streams 1
rx 350 lost 66 reorder 0 bad 0 | inter-arrival jitter 663.2 ms | streams 1
rx 358 lost 69 reorder 0 bad 0 | inter-arrival jitter 420.7 ms | streams 1
rx 365 lost 73 reorder 0 bad 0 | inter-arrival jitter 356.4 ms | streams 1
rx 383 lost 126 reorder 0 bad 0 | inter-arrival jitter 493.7 ms | streams 1
rx 417 lost 207 reorder 0 bad 0 | inter-arrival jitter 257.8 ms | streams 1
rx 487 lost 234 reorder 0 bad 0 | inter-arrival jitter 269.5 ms | streams 1
rx 539 lost 234 reorder 0 bad 0 | inter-arrival jitter  72.7 ms | streams 1
rx 584 lost 236 reorder 0 bad 0 | inter-arrival jitter 312.6 ms | streams 1
rx 609 lost 252 reorder 0 bad 0 | inter-arrival jitter 790.9 ms | streams 1
rx 615 lost 261 reorder 0 bad 0 | inter-arrival jitter 310.3 ms | streams 1
rx 630 lost 320 reorder 0 bad 0 | inter-arrival jitter 329.5 ms | streams 1
rx 652 lost 374 reorder 0 bad 0 | inter-arrival jitter 371.2 ms | streams 1
rx 669 lost 403 reorder 0 bad 0 | inter-arrival jitter 260.1 ms | streams 1
rx 686 lost 434 reorder 0 bad 0 | inter-arrival jitter 271.6 ms | streams 1
rx 757 lost 482 reorder 0 bad 0 | inter-arrival jitter 215.3 ms | streams 1
rx 809 lost 482 reorder 0 bad 0 | inter-arrival jitter  55.0 ms | streams 1
rx 861 lost 482 reorder 0 bad 0 | inter-arrival jitter  75.0 ms | streams 1
rx 903 lost 484 reorder 0 bad 0 | inter-arrival jitter 345.6 ms | streams 1
rx 908 lost 490 reorder 0 bad 0 | inter-arrival jitter 612.1 ms | streams 1
rx 932 lost 522 reorder 0 bad 0 | inter-arrival jitter 360.8 ms | streams 1
rx 947 lost 559 reorder 0 bad 0 | inter-arrival jitter 362.7 ms | streams 1
rx 1028 lost 594 reorder 0 bad 0 | inter-arrival jitter  65.6 ms | streams 1
rx 1036 lost 607 reorder 0 bad 0 | inter-arrival jitter 556.7 ms | streams 1
rx 1070 lost 640 reorder 0 bad 0 | inter-arrival jitter 608.5 ms | streams 1
rx 1098 lost 669 reorder 0 bad 0 | inter-arrival jitter 388.8 ms | streams 1
rx 1112 lost 709 reorder 0 bad 0 | inter-arrival jitter 629.2 ms | streams 1
rx 1146 lost 758 reorder 0 bad 0 | inter-arrival jitter 677.8 ms | streams 1
rx 1153 lost 777 reorder 0 bad 0 | inter-arrival jitter 348.7 ms | streams 1
rx 1160 lost 819 reorder 0 bad 0 | inter-arrival jitter 471.6 ms | streams 1
rx 1194 lost 895 reorder 0 bad 0 | inter-arrival jitter 401.8 ms | streams 1
rx 1224 lost 935 reorder 0 bad 0 | inter-arrival jitter 574.9 ms | streams 1
rx 1291 lost 986 reorder 0 bad 0 | inter-arrival jitter 816.6 ms | streams 1
rx 1350 lost 1013 reorder 0 bad 0 | inter-arrival jitter 519.1 ms | streams 1
rx 1399 lost 1013 reorder 0 bad 0 | inter-arrival jitter  63.7 ms | streams 1
rx 1425 lost 1017 reorder 0 bad 0 | inter-arrival jitter 509.2 ms | streams 1
rx 1427 lost 1027 reorder 0 bad 0 | inter-arrival jitter 493.5 ms | streams 1
rx 1441 lost 1046 reorder 0 bad 0 | inter-arrival jitter 389.0 ms | streams 1
rx 1462 lost 1113 reorder 0 bad 0 | inter-arrival jitter 311.2 ms | streams 1
